id,title,body,department,sentiment
266,Colazione scarsa,Cibo servito tiepido e poco saporito. Colazione buona ma il bagno non era perfetto.,F&B,neg
267,Reception poco disponibile,Hanno sbagliato a registrare il pagamento e ho dovuto discutere per sistemare. Check-in veloce ma la stanza aveva qualche problema.,Reception,neg
268,Esperienza negativa al desk,"Personale poco cordiale, nessun sorriso e poca attenzione alle richieste.",Reception,neg
269,Deluso dalla pulizia,Macchie sulle lenzuola e asciugamani non cambiati.,Housekeeping,neg
270,Cibo delizioso,"Buffet serale molto vario, qualità del cibo sopra la media. Personale gentile alla reception, però il ristorante non mi ha convinto.",F&B,pos
271,Stanza impeccabile,"Pulizia della stanza davvero ottima, non ho trovato un granello di polvere.",Housekeeping,pos
272,Camera pulitissima,"Bagno brillante e senza tracce di sporco, complimenti alle cameriere ai piani.",Housekeeping,pos
273,Stanza impeccabile,"Servizio di pulizia rapido e accurato, letto rifatto alla perfezione.",Housekeeping,pos
274,Ottimo servizio di pulizia,"Servizio di pulizia rapido e accurato, letto rifatto alla perfezione.",Housekeeping,pos
275,Stanza trascurata,"La camera non è stata rifatta un giorno su due, davvero inaccettabile.",Housekeeping,neg
276,Esperienza pessima al buffet,Il ristorante era caro e la qualità dei piatti non all'altezza.,F&B,neg
277,Reception poco disponibile,Hanno sbagliato a registrare il pagamento e ho dovuto discutere per sistemare.,Reception,neg
278,Esperienza pessima al buffet,Cibo servito tiepido e poco saporito.,F&B,neg
279,Ristorante deludente,Il ristorante era caro e la qualità dei piatti non all'altezza.,F&B,neg
280,Camera sporca,"Pulizia molto approssimativa, pavimento appiccicoso e cestino non svuotato.",Housekeeping,neg
281,Colazione fantastica,"Buffet serale molto vario, qualità del cibo sopra la media. Check-in veloce ma la stanza aveva qualche problema.",F&B,pos
282,Reception poco disponibile,"Informazioni confuse su tasse di soggiorno e orari, poca professionalità. Check-in veloce ma la stanza aveva qualche problema.",Reception,neg
283,Check-in lunghissimo,"Informazioni confuse su tasse di soggiorno e orari, poca professionalità. Personale gentile alla reception, però il ristorante non mi ha convinto.",Reception,neg
284,Camera sporca,Macchie sulle lenzuola e asciugamani non cambiati.,Housekeeping,neg
285,Check-in veloce,"Check-in rapido e senza problemi, ci hanno dato anche ottimi consigli sulla città. Personale gentile alla reception, però il ristorante non mi ha convinto.",Reception,pos
286,Reception cordiale,"Reception aperta 24 ore su 24, sempre pronti ad aiutare.",Reception,pos
287,Stanza impeccabile,"Servizio di pulizia rapido e accurato, letto rifatto alla perfezione.",Housekeeping,pos
288,Colazione scarsa,Cibo servito tiepido e poco saporito.,F&B,neg
289,Ottimo servizio di pulizia,"Pulizia della stanza davvero ottima, non ho trovato un granello di polvere.",Housekeeping,pos
290,Colazione scarsa,"Poca scelta a colazione, molti prodotti confezionati.",F&B,neg
291,Staff gentilissimo,"Check-in rapido e senza problemi, ci hanno dato anche ottimi consigli sulla città.",Reception,pos
292,Pulizia insufficiente,"Pulizia molto approssimativa, pavimento appiccicoso e cestino non svuotato.",Housekeeping,neg
293,Ottimo buffet,Colazione abbondante con molta scelta di dolce e salato.,F&B,pos
294,Cibo delizioso,"Camerieri gentili e servizio veloce, cibo di ottima qualità. Colazione buona ma il bagno non era perfetto.",F&B,pos
295,Check-in lunghissimo,Hanno sbagliato a registrare il pagamento e ho dovuto discutere per sistemare.,Reception,neg
296,Accoglienza perfetta,"Ottima gestione del check-out, conto chiaro e nessun intoppo. Personale gentile alla reception, però il ristorante non mi ha convinto.",Reception,pos
297,Ristorante deludente,"Buffet quasi vuoto e piatti non riforniti, molto deludente.",F&B,neg
298,Staff gentilissimo,Personale della reception molto disponibile e sorridente.,Reception,pos
299,Check-in veloce,"Check-in rapido e senza problemi, ci hanno dato anche ottimi consigli sulla città. Check-in veloce ma la stanza aveva qualche problema.",Reception,pos
300,Stanza trascurata,"Pulizia molto approssimativa, pavimento appiccicoso e cestino non svuotato.",Housekeeping,neg
301,Cibo freddo,"Poca scelta a colazione, molti prodotti confezionati.",F&B,neg
302,Stanza trascurata,Ho trovato polvere sui mobili e capelli nel bagno.,Housekeeping,neg
303,Check-in lunghissimo,Hanno sbagliato a registrare il pagamento e ho dovuto discutere per sistemare.,Reception,neg
304,Esperienza negativa al desk,Hanno sbagliato a registrare il pagamento e ho dovuto discutere per sistemare.,Reception,neg
305,Problemi con il pagamento,Hanno sbagliato a registrare il pagamento e ho dovuto discutere per sistemare.,Reception,neg
306,Colazione scarsa,"Buffet quasi vuoto e piatti non riforniti, molto deludente.",F&B,neg
307,Stanza trascurata,"Ho trovato polvere sui mobili e capelli nel bagno. Personale gentile alla reception, però il ristorante non mi ha convinto.",Housekeeping,neg
308,Esperienza negativa al desk,"Personale poco cordiale, nessun sorriso e poca attenzione alle richieste.",Reception,neg
309,Check-in lunghissimo,Hanno sbagliato a registrare il pagamento e ho dovuto discutere per sistemare.,Reception,neg
310,Check-in lunghissimo,Ho dovuto aspettare più di mezz'ora per il check-in.,Reception,neg
311,Reception poco disponibile,Ho dovuto aspettare più di mezz'ora per il check-in. Colazione buona ma il bagno non era perfetto.,Reception,neg
312,Camera pulitissima,"Servizio di pulizia rapido e accurato, letto rifatto alla perfezione.",Housekeeping,pos
313,Esperienza negativa al desk,Ho dovuto aspettare più di mezz'ora per il check-in.,Reception,neg
314,Cibo freddo,Cibo servito tiepido e poco saporito.,F&B,neg
315,Stanza impeccabile,"Pulizia della stanza davvero ottima, non ho trovato un granello di polvere.",Housekeeping,pos
316,Accoglienza perfetta,Personale della reception molto disponibile e sorridente.,Reception,pos
317,Check-in lunghissimo,Hanno sbagliato a registrare il pagamento e ho dovuto discutere per sistemare.,Reception,neg
318,Ristorante deludente,Cibo servito tiepido e poco saporito.,F&B,neg
319,Accoglienza perfetta,"Check-in rapido e senza problemi, ci hanno dato anche ottimi consigli sulla città.",Reception,pos
320,Reception cordiale,Personale della reception molto disponibile e sorridente.,Reception,pos
321,Check-in lunghissimo,Hanno sbagliato a registrare il pagamento e ho dovuto discutere per sistemare.,Reception,neg
322,Stanza impeccabile,"Servizio di pulizia rapido e accurato, letto rifatto alla perfezione. Check-in veloce ma la stanza aveva qualche problema.",Housekeeping,pos
323,Pulizia eccellente,"La camera era sempre pulita e profumata, asciugamani cambiati ogni giorno.",Housekeeping,pos
324,Esperienza pessima al buffet,Il ristorante era caro e la qualità dei piatti non all'altezza.,F&B,neg
325,Stanza impeccabile,"Pulizia della stanza davvero ottima, non ho trovato un granello di polvere.",Housekeeping,pos
326,Esperienza pessima al buffet,"Buffet quasi vuoto e piatti non riforniti, molto deludente.",F&B,neg
327,Stanza impeccabile,"La camera era sempre pulita e profumata, asciugamani cambiati ogni giorno.",Housekeeping,pos
328,Ristorante deludente,Il ristorante era caro e la qualità dei piatti non all'altezza.,F&B,neg
329,Camera sporca,Ho trovato polvere sui mobili e capelli nel bagno.,Housekeeping,neg
330,Staff gentilissimo,"Ottima gestione del check-out, conto chiaro e nessun intoppo.",Reception,pos
331,Stanza trascurata,Ho trovato polvere sui mobili e capelli nel bagno.,Housekeeping,neg
332,Ristorante deludente,Cibo servito tiepido e poco saporito.,F&B,neg
333,Ottimo servizio di pulizia,"Servizio di pulizia rapido e accurato, letto rifatto alla perfezione.",Housekeeping,pos
334,Colazione scarsa,"Poca scelta a colazione, molti prodotti confezionati. Personale gentile alla reception, però il ristorante non mi ha convinto.",F&B,neg
335,Cibo delizioso,Colazione abbondante con molta scelta di dolce e salato.,F&B,pos
336,Cibo freddo,"Buffet quasi vuoto e piatti non riforniti, molto deludente.",F&B,neg
337,Cibo freddo,"Buffet quasi vuoto e piatti non riforniti, molto deludente. Camera pulita ma colazione deludente, non so se tornerei.",F&B,neg
338,Deluso dalla pulizia,"Pulizia molto approssimativa, pavimento appiccicoso e cestino non svuotato.",Housekeeping,neg
339,Check-in veloce,"Ottima gestione del check-out, conto chiaro e nessun intoppo.",Reception,pos
340,Reception poco disponibile,Hanno sbagliato a registrare il pagamento e ho dovuto discutere per sistemare.,Reception,neg
341,Pulizia insufficiente,"Pulizia molto approssimativa, pavimento appiccicoso e cestino non svuotato. Colazione buona ma il bagno non era perfetto.",Housekeeping,neg
342,Camera pulitissima,"La camera era sempre pulita e profumata, asciugamani cambiati ogni giorno.",Housekeeping,pos
343,Reception poco disponibile,"Personale poco cordiale, nessun sorriso e poca attenzione alle richieste.",Reception,neg
344,Ristorante deludente,Il ristorante era caro e la qualità dei piatti non all'altezza.,F&B,neg
345,Esperienza pessima al buffet,Cibo servito tiepido e poco saporito.,F&B,neg
346,Deluso dalla pulizia,"La camera non è stata rifatta un giorno su due, davvero inaccettabile.",Housekeeping,neg
347,Accoglienza perfetta,"Ottima gestione del check-out, conto chiaro e nessun intoppo.",Reception,pos
348,Cibo freddo,"Poca scelta a colazione, molti prodotti confezionati.",F&B,neg
349,Check-in veloce,"Ottima gestione del check-out, conto chiaro e nessun intoppo.",Reception,pos
350,Reception cordiale,Personale della reception molto disponibile e sorridente.,Reception,pos
351,Stanza trascurata,Ho trovato polvere sui mobili e capelli nel bagno.,Housekeeping,neg
352,Check-in lunghissimo,"Personale poco cordiale, nessun sorriso e poca attenzione alle richieste.",Reception,neg
353,Problemi con il pagamento,Hanno sbagliato a registrare il pagamento e ho dovuto discutere per sistemare.,Reception,neg
354,Camera sporca,"Ho trovato polvere sui mobili e capelli nel bagno. Personale gentile alla reception, però il ristorante non mi ha convinto.",Housekeeping,neg
355,Reception poco disponibile,"Personale poco cordiale, nessun sorriso e poca attenzione alle richieste.",Reception,neg
356,Ristorante deludente,"Buffet quasi vuoto e piatti non riforniti, molto deludente.",F&B,neg
357,Cibo freddo,"Buffet quasi vuoto e piatti non riforniti, molto deludente.",F&B,neg
358,Check-in lunghissimo,Hanno sbagliato a registrare il pagamento e ho dovuto discutere per sistemare.,Reception,neg
359,Stanza trascurata,Ho trovato polvere sui mobili e capelli nel bagno.,Housekeeping,neg
360,Accoglienza perfetta,"Reception aperta 24 ore su 24, sempre pronti ad aiutare.",Reception,pos
361,Ristorante deludente,"Il ristorante era caro e la qualità dei piatti non all'altezza. Camera pulita ma colazione deludente, non so se tornerei.",F&B,neg
362,Pulizia eccellente,"Bagno brillante e senza tracce di sporco, complimenti alle cameriere ai piani.",Housekeeping,pos
363,Reception cordiale,"Reception aperta 24 ore su 24, sempre pronti ad aiutare.",Reception,pos
364,Ristorante eccellente,"Ristorante dell'hotel davvero buono, piatti curati e servizio puntuale.",F&B,pos
365,Esperienza pessima al buffet,Cibo servito tiepido e poco saporito.,F&B,neg
366,Problemi con il pagamento,Hanno sbagliato a registrare il pagamento e ho dovuto discutere per sistemare.,Reception,neg
367,Stanza impeccabile,"Bagno brillante e senza tracce di sporco, complimenti alle cameriere ai piani.",Housekeeping,pos
368,Reception poco disponibile,"Informazioni confuse su tasse di soggiorno e orari, poca professionalità.",Reception,neg
369,Problemi con il pagamento,Ho dovuto aspettare più di mezz'ora per il check-in.,Reception,neg
370,Esperienza pessima al buffet,Cibo servito tiepido e poco saporito.,F&B,neg
371,Camera sporca,Macchie sulle lenzuola e asciugamani non cambiati.,Housekeeping,neg
372,Deluso dalla pulizia,Macchie sulle lenzuola e asciugamani non cambiati.,Housekeeping,neg
373,Stanza impeccabile,"Bagno brillante e senza tracce di sporco, complimenti alle cameriere ai piani. Check-in veloce ma la stanza aveva qualche problema.",Housekeeping,pos
374,Ottimo servizio di pulizia,"Servizio di pulizia rapido e accurato, letto rifatto alla perfezione. Colazione buona ma il bagno non era perfetto.",Housekeeping,pos
375,Check-in lunghissimo,"Personale poco cordiale, nessun sorriso e poca attenzione alle richieste. Check-in veloce ma la stanza aveva qualche problema.",Reception,neg
376,Esperienza negativa al desk,"Personale poco cordiale, nessun sorriso e poca attenzione alle richieste.",Reception,neg
377,Problemi con il pagamento,Ho dovuto aspettare più di mezz'ora per il check-in.,Reception,neg
378,Camera pulitissima,"Servizio di pulizia rapido e accurato, letto rifatto alla perfezione.",Housekeeping,pos
379,Pulizia eccellente,"Pulizia della stanza davvero ottima, non ho trovato un granello di polvere.",Housekeeping,pos
380,Colazione scarsa,"Poca scelta a colazione, molti prodotti confezionati.",F&B,neg
381,Ottimo buffet,"Buffet serale molto vario, qualità del cibo sopra la media.",F&B,pos
382,Ristorante deludente,"Buffet quasi vuoto e piatti non riforniti, molto deludente.",F&B,neg
383,Pulizia insufficiente,"Pulizia molto approssimativa, pavimento appiccicoso e cestino non svuotato.",Housekeeping,neg
384,Colazione fantastica,"Buffet serale molto vario, qualità del cibo sopra la media.",F&B,pos
385,Ristorante eccellente,"Camerieri gentili e servizio veloce, cibo di ottima qualità.",F&B,pos
386,Colazione scarsa,"Buffet quasi vuoto e piatti non riforniti, molto deludente.",F&B,neg
387,Pulizia eccellente,"Bagno brillante e senza tracce di sporco, complimenti alle cameriere ai piani.",Housekeeping,pos
388,Deluso dalla pulizia,"La camera non è stata rifatta un giorno su due, davvero inaccettabile.",Housekeeping,neg
389,Problemi con il pagamento,Ho dovuto aspettare più di mezz'ora per il check-in.,Reception,neg
390,Accoglienza perfetta,Personale della reception molto disponibile e sorridente.,Reception,pos
391,Stanza trascurata,Ho trovato polvere sui mobili e capelli nel bagno.,Housekeeping,neg
392,Reception poco disponibile,"Personale poco cordiale, nessun sorriso e poca attenzione alle richieste.",Reception,neg
393,Reception cordiale,"Ottima gestione del check-out, conto chiaro e nessun intoppo.",Reception,pos
394,Ristorante deludente,Il ristorante era caro e la qualità dei piatti non all'altezza.,F&B,neg
395,Cibo delizioso,"Buffet serale molto vario, qualità del cibo sopra la media. Camera pulita ma colazione deludente, non so se tornerei.",F&B,pos
396,Ottimo servizio di pulizia,"Servizio di pulizia rapido e accurato, letto rifatto alla perfezione.",Housekeeping,pos
397,Colazione scarsa,Il ristorante era caro e la qualità dei piatti non all'altezza.,F&B,neg
398,Reception cordiale,Personale della reception molto disponibile e sorridente.,Reception,pos
399,Esperienza pessima al buffet,"Poca scelta a colazione, molti prodotti confezionati.",F&B,neg
400,Colazione scarsa,"Buffet quasi vuoto e piatti non riforniti, molto deludente.",F&B,neg
401,Camera pulitissima,"La camera era sempre pulita e profumata, asciugamani cambiati ogni giorno.",Housekeeping,pos
402,Colazione fantastica,Colazione abbondante con molta scelta di dolce e salato.,F&B,pos
403,Check-in veloce,"Reception aperta 24 ore su 24, sempre pronti ad aiutare.",Reception,pos
404,Stanza trascurata,"Pulizia molto approssimativa, pavimento appiccicoso e cestino non svuotato.",Housekeeping,neg
405,Check-in lunghissimo,"Personale poco cordiale, nessun sorriso e poca attenzione alle richieste.",Reception,neg
406,Staff gentilissimo,"Reception aperta 24 ore su 24, sempre pronti ad aiutare.",Reception,pos
407,Colazione fantastica,Colazione abbondante con molta scelta di dolce e salato.,F&B,pos
408,Esperienza negativa al desk,"Personale poco cordiale, nessun sorriso e poca attenzione alle richieste.",Reception,neg
409,Check-in veloce,"Check-in rapido e senza problemi, ci hanno dato anche ottimi consigli sulla città.",Reception,pos
410,Colazione fantastica,"Camerieri gentili e servizio veloce, cibo di ottima qualità.",F&B,pos
411,Ottimo servizio di pulizia,"La camera era sempre pulita e profumata, asciugamani cambiati ogni giorno. Camera pulita ma colazione deludente, non so se tornerei.",Housekeeping,pos
412,Staff gentilissimo,Personale della reception molto disponibile e sorridente.,Reception,pos
413,Camera pulitissima,"Servizio di pulizia rapido e accurato, letto rifatto alla perfezione.",Housekeeping,pos
414,Check-in veloce,"Ottima gestione del check-out, conto chiaro e nessun intoppo.",Reception,pos
415,Pulizia eccellente,"Bagno brillante e senza tracce di sporco, complimenti alle cameriere ai piani.",Housekeeping,pos
416,Cibo delizioso,"Camerieri gentili e servizio veloce, cibo di ottima qualità. Personale gentile alla reception, però il ristorante non mi ha convinto.",F&B,pos
417,Cibo freddo,"Buffet quasi vuoto e piatti non riforniti, molto deludente.",F&B,neg
418,Reception poco disponibile,"Informazioni confuse su tasse di soggiorno e orari, poca professionalità.",Reception,neg
419,Pulizia insufficiente,"Pulizia molto approssimativa, pavimento appiccicoso e cestino non svuotato.",Housekeeping,neg
420,Esperienza pessima al buffet,Il ristorante era caro e la qualità dei piatti non all'altezza.,F&B,neg
421,Check-in veloce,Personale della reception molto disponibile e sorridente.,Reception,pos
422,Staff gentilissimo,Personale della reception molto disponibile e sorridente.,Reception,pos
423,Colazione fantastica,"Ristorante dell'hotel davvero buono, piatti curati e servizio puntuale.",F&B,pos
424,Cibo delizioso,"Ristorante dell'hotel davvero buono, piatti curati e servizio puntuale.",F&B,pos
425,Check-in lunghissimo,"Personale poco cordiale, nessun sorriso e poca attenzione alle richieste.",Reception,neg
426,Cibo delizioso,"Ristorante dell'hotel davvero buono, piatti curati e servizio puntuale.",F&B,pos
427,Cibo delizioso,"Ristorante dell'hotel davvero buono, piatti curati e servizio puntuale.",F&B,pos
428,Esperienza negativa al desk,Hanno sbagliato a registrare il pagamento e ho dovuto discutere per sistemare.,Reception,neg
429,Esperienza negativa al desk,Ho dovuto aspettare più di mezz'ora per il check-in.,Reception,neg
430,Cibo freddo,Il ristorante era caro e la qualità dei piatti non all'altezza.,F&B,neg
431,Staff gentilissimo,"Check-in rapido e senza problemi, ci hanno dato anche ottimi consigli sulla città. Colazione buona ma il bagno non era perfetto.",Reception,pos
432,Staff gentilissimo,"Ottima gestione del check-out, conto chiaro e nessun intoppo.",Reception,pos
433,Cibo delizioso,"Buffet serale molto vario, qualità del cibo sopra la media.",F&B,pos
434,Esperienza negativa al desk,"Personale poco cordiale, nessun sorriso e poca attenzione alle richieste.",Reception,neg
435,Staff gentilissimo,"Reception aperta 24 ore su 24, sempre pronti ad aiutare.",Reception,pos
436,Colazione fantastica,Colazione abbondante con molta scelta di dolce e salato.,F&B,pos
437,Colazione fantastica,"Camerieri gentili e servizio veloce, cibo di ottima qualità. Check-in veloce ma la stanza aveva qualche problema.",F&B,pos
438,Camera pulitissima,"Servizio di pulizia rapido e accurato, letto rifatto alla perfezione.",Housekeeping,pos
439,Reception cordiale,"Reception aperta 24 ore su 24, sempre pronti ad aiutare. Colazione buona ma il bagno non era perfetto.",Reception,pos
440,Stanza impeccabile,"Bagno brillante e senza tracce di sporco, complimenti alle cameriere ai piani. Colazione buona ma il bagno non era perfetto.",Housekeeping,pos
441,Camera pulitissima,"Servizio di pulizia rapido e accurato, letto rifatto alla perfezione.",Housekeeping,pos
442,Cibo freddo,Cibo servito tiepido e poco saporito.,F&B,neg
443,Deluso dalla pulizia,"Pulizia molto approssimativa, pavimento appiccicoso e cestino non svuotato.",Housekeeping,neg
444,Ottimo buffet,Colazione abbondante con molta scelta di dolce e salato.,F&B,pos
445,Colazione fantastica,"Camerieri gentili e servizio veloce, cibo di ottima qualità.",F&B,pos
446,Colazione scarsa,"Poca scelta a colazione, molti prodotti confezionati.",F&B,neg
447,Deluso dalla pulizia,Macchie sulle lenzuola e asciugamani non cambiati.,Housekeeping,neg
448,Ottimo servizio di pulizia,"Servizio di pulizia rapido e accurato, letto rifatto alla perfezione.",Housekeeping,pos
449,Cibo freddo,"Poca scelta a colazione, molti prodotti confezionati.",F&B,neg
450,Colazione scarsa,Il ristorante era caro e la qualità dei piatti non all'altezza.,F&B,neg
451,Staff gentilissimo,"Check-in rapido e senza problemi, ci hanno dato anche ottimi consigli sulla città.",Reception,pos
452,Colazione scarsa,Cibo servito tiepido e poco saporito.,F&B,neg
453,Stanza trascurata,"Pulizia molto approssimativa, pavimento appiccicoso e cestino non svuotato.",Housekeeping,neg
454,Stanza impeccabile,"La camera era sempre pulita e profumata, asciugamani cambiati ogni giorno. Check-in veloce ma la stanza aveva qualche problema.",Housekeeping,pos
455,Deluso dalla pulizia,"Macchie sulle lenzuola e asciugamani non cambiati. Personale gentile alla reception, però il ristorante non mi ha convinto.",Housekeeping,neg
456,Reception poco disponibile,Hanno sbagliato a registrare il pagamento e ho dovuto discutere per sistemare.,Reception,neg
457,Reception poco disponibile,"Informazioni confuse su tasse di soggiorno e orari, poca professionalità. Personale gentile alla reception, però il ristorante non mi ha convinto.",Reception,neg
458,Camera pulitissima,"Bagno brillante e senza tracce di sporco, complimenti alle cameriere ai piani.",Housekeeping,pos
459,Cibo delizioso,"Buffet serale molto vario, qualità del cibo sopra la media.",F&B,pos
460,Stanza impeccabile,"Pulizia della stanza davvero ottima, non ho trovato un granello di polvere.",Housekeeping,pos
461,Staff gentilissimo,Personale della reception molto disponibile e sorridente.,Reception,pos
462,Check-in lunghissimo,"Ho dovuto aspettare più di mezz'ora per il check-in. Camera pulita ma colazione deludente, non so se tornerei.",Reception,neg
463,Esperienza pessima al buffet,"Poca scelta a colazione, molti prodotti confezionati.",F&B,neg
464,Staff gentilissimo,"Check-in rapido e senza problemi, ci hanno dato anche ottimi consigli sulla città.",Reception,pos
465,Stanza impeccabile,"Bagno brillante e senza tracce di sporco, complimenti alle cameriere ai piani.",Housekeeping,pos
466,Ottimo servizio di pulizia,"Pulizia della stanza davvero ottima, non ho trovato un granello di polvere.",Housekeeping,pos
467,Check-in lunghissimo,Hanno sbagliato a registrare il pagamento e ho dovuto discutere per sistemare.,Reception,neg
468,Pulizia insufficiente,"Pulizia molto approssimativa, pavimento appiccicoso e cestino non svuotato. Personale gentile alla reception, però il ristorante non mi ha convinto.",Housekeeping,neg
469,Stanza trascurata,"Pulizia molto approssimativa, pavimento appiccicoso e cestino non svuotato.",Housekeeping,neg
470,Problemi con il pagamento,"Informazioni confuse su tasse di soggiorno e orari, poca professionalità.",Reception,neg
471,Ottimo buffet,"Buffet serale molto vario, qualità del cibo sopra la media.",F&B,pos
472,Cibo delizioso,"Buffet serale molto vario, qualità del cibo sopra la media.",F&B,pos
473,Problemi con il pagamento,"Informazioni confuse su tasse di soggiorno e orari, poca professionalità.",Reception,neg
474,Deluso dalla pulizia,Macchie sulle lenzuola e asciugamani non cambiati.,Housekeeping,neg
475,Check-in lunghissimo,"Personale poco cordiale, nessun sorriso e poca attenzione alle richieste.",Reception,neg
476,Colazione fantastica,"Camerieri gentili e servizio veloce, cibo di ottima qualità.",F&B,pos
477,Stanza trascurata,Ho trovato polvere sui mobili e capelli nel bagno.,Housekeeping,neg
478,Reception poco disponibile,Hanno sbagliato a registrare il pagamento e ho dovuto discutere per sistemare.,Reception,neg
479,Cibo delizioso,"Camerieri gentili e servizio veloce, cibo di ottima qualità. Colazione buona ma il bagno non era perfetto.",F&B,pos
480,Esperienza pessima al buffet,"Poca scelta a colazione, molti prodotti confezionati.",F&B,neg
481,Accoglienza perfetta,"Check-in rapido e senza problemi, ci hanno dato anche ottimi consigli sulla città.",Reception,pos
482,Accoglienza perfetta,"Reception aperta 24 ore su 24, sempre pronti ad aiutare.",Reception,pos
483,Check-in lunghissimo,Ho dovuto aspettare più di mezz'ora per il check-in. Check-in veloce ma la stanza aveva qualche problema.,Reception,neg
484,Cibo delizioso,"Buffet serale molto vario, qualità del cibo sopra la media.",F&B,pos
485,Ottimo buffet,Colazione abbondante con molta scelta di dolce e salato.,F&B,pos
486,Check-in lunghissimo,Ho dovuto aspettare più di mezz'ora per il check-in.,Reception,neg
487,Ottimo buffet,"Buffet serale molto vario, qualità del cibo sopra la media.",F&B,pos
488,Stanza trascurata,"Pulizia molto approssimativa, pavimento appiccicoso e cestino non svuotato. Colazione buona ma il bagno non era perfetto.",Housekeeping,neg
489,Check-in veloce,Personale della reception molto disponibile e sorridente.,Reception,pos
490,Stanza impeccabile,"La camera era sempre pulita e profumata, asciugamani cambiati ogni giorno.",Housekeeping,pos
491,Ottimo servizio di pulizia,"Servizio di pulizia rapido e accurato, letto rifatto alla perfezione.",Housekeeping,pos
492,Reception poco disponibile,"Informazioni confuse su tasse di soggiorno e orari, poca professionalità.",Reception,neg
493,Deluso dalla pulizia,Ho trovato polvere sui mobili e capelli nel bagno.,Housekeeping,neg
494,Deluso dalla pulizia,"Pulizia molto approssimativa, pavimento appiccicoso e cestino non svuotato. Check-in veloce ma la stanza aveva qualche problema.",Housekeeping,neg
495,Camera sporca,Ho trovato polvere sui mobili e capelli nel bagno.,Housekeeping,neg
496,Ottimo buffet,"Buffet serale molto vario, qualità del cibo sopra la media.",F&B,pos
497,Deluso dalla pulizia,Macchie sulle lenzuola e asciugamani non cambiati.,Housekeeping,neg
498,Colazione scarsa,Cibo servito tiepido e poco saporito.,F&B,neg
499,Check-in veloce,Personale della reception molto disponibile e sorridente.,Reception,pos
500,Staff gentilissimo,"Ottima gestione del check-out, conto chiaro e nessun intoppo. Personale gentile alla reception, però il ristorante non mi ha convinto.",Reception,pos
